Events
100
Subject,Context,Name,Time (s),Description
HC032A,Left,Foot Strike,2.33,The instant the heel strikes the ground
HC032A,Left,Foot Strike,1.21,The instant the heel strikes the ground
HC032A,Left,Foot Strike,3.34,The instant the heel strikes the ground
HC032A,Left,Foot Off,2.96,The instant the toe leaves the ground
HC032A,Left,Foot Off,0.8,The instant the toe leaves the ground
HC032A,Left,Foot Off,1.89,The instant the toe leaves the ground
HC032A,Right,Foot Strike,1.76,The instant the heel strikes the ground
HC032A,Right,Foot Strike,0.69,The instant the heel strikes the ground
HC032A,Right,Foot Strike,2.83,The instant the heel strikes the ground
HC032A,Right,Foot Strike,3.88,The instant the heel strikes the ground
HC032A,Right,Foot Off,2.43,The instant the toe leaves the ground
HC032A,Right,Foot Off,1.32,The instant the toe leaves the ground
HC032A,Right,Foot Off,3.49,The instant the toe leaves the ground

Devices
1000
,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Analog Device - Voltage,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L Rect,R Rect,L Hams,R Hams,L Gast,R Gast,L Tib Ant,R Tib Ant,L Spare,R Spare,L Tib Post,R Tib Post
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V
56,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00213623,-0.000915527,0.00320435,-0.00160217,-0.0358963,-0.00125885,-0.0063324,-0.00087738,0.000495911,0.000572205,-0.000114441,0.000343323
56,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00484467,-0.00114441,-0.00564575,-0.00167847,-0.0167084,-0.00118256,-0.0069046,-0.000839233,0.000267029,0.00087738,0,0.000114441
56,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00598907,-0.00114441,0.000457764,-0.00282288,-0.0128937,-0.00198364,-0.00839233,-0.000953674,0.00179291,0.00217438,0.00144958,0.00160217
56,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00713348,-0.00102997,0.00354767,-0.00164032,-0.0117493,-0.00137329,-0.00663757,-0.00087738,0.000495911,-0.000114441,0.000305176,0.000572205
56,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00530243,-0.00038147,-0.00579834,-0.00144958,0.00957489,-0.0031662,-0.00621796,-0.000915527,0.000419617,0.000534058,0.000305176,0.00038147
56,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.000572205,-0.0012207,0.000267029,-0.00167847,0.0576401,-0.00118256,-0.00602722,-0.000915527,0.000534058,0.00106812,0.000610352,0.00087738
56,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00473022,-0.000228882,-0.000991821,-0.00217438,0.0640869,-0.000801086,-0.00602722,-0.000724792,0.00278473,0.00305176,0.00293732,0.00247955
56,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.0031662,-0.0012207,0.00465393,-0.00209808,0.0452423,-0.000953674,-0.0062561,-0.000534058,0.00152588,0.00171661,0.00102997,0.00114441
57,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.0012207,-0.00125885,0.00663757,-0.00183105,0.0378418,-0.001297,-0.00583649,-0.000839233,0.000457764,0.000762939,0.000267029,0.000572205
57,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00461578,-0.000991821,0.00537872,-0.001297,0.0596619,-0.00133514,-0.00602722,-0.000915527,0.000953674,0.00110626,0.000686646,0.000839233
